Código;Documento;Extensión;Carpeta;Tipo de documento;Modificación;Vinculo edición;Vinculo descarga
DA-GMD-001;Modelo de historia clínica de medicina domiciliaria.docx;.docx;Gestión medicina general;;2026-09-07T11:30:44;"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-001 Modelo de historia clínica de medicina domiciliaria.docx?web=1";"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-001 Modelo de historia clínica de medicina domiciliaria.docx"
DA-GMD-002;Modelo de historia clínica de consulta de ingreso control RCV-HTA.docx;.docx;Gestión medicina general;;2026-08-29T12:17:41;"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-002 Modelo de historia clínica de consulta de ingreso control RCV-HTA.docx?web=1";"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-002 Modelo de historia clínica de consulta de ingreso control RCV-HTA.docx"
DA-GMD-003;Modelo de historia clínica de consulta de ingreso-control rcv diabetes mellitus.docx;.docx;Gestión medicina general;;2026-08-29T12:17:42;"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-003 Modelo de historia clínica de consulta de ingreso-control rcv diabetes mellitus.docx?web=1";"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-003 Modelo de historia clínica de consulta de ingreso-control rcv diabetes mellitus.docx"
DA-GMD-004;Pautas de manejo para el retiro de especialistas.docx;.docx;Gestión asistencial;;2026-08-29T08:21:14;"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión asistencial/Documentos de Apoyo/DA-GMD-004 Pautas de manejo para el retiro de especialistas.docx?web=1";"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión asistencial/Documentos de Apoyo/DA-GMD-004 Pautas de manejo para el retiro de especialistas.docx"
DA-GMD-005;Signos y sintomas de alarma específicos de patologías osteomusculares.docx;.docx;Gestión medicina general;;2026-08-29T12:17:42;"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-005 Signos y sintomas de alarma específicos de patologías osteomusculares.docx?web=1";"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-005 Signos y sintomas de alarma específicos de patologías osteomusculares.docx"
DA-GMD-006;Ingreso a Control Prenatal.docx;.docx;Gestión medicina general;;2026-08-29T12:17:42;"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-006 Ingreso a Control Prenatal.docx?web=1";"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-006 Ingreso a Control Prenatal.docx"
DA-GMD-007;Guia de atencion gestante por medico general.docx;.docx;Gestión medicina general;;2026-08-29T12:17:43;"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-007 Guia de atencion gestante por medico general.docx?web=1";"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-007 Guia de atencion gestante por medico general.docx"
DA-GMD-008;Guia Consulta de egreso CPR y Planificación Familiar.docx;.docx;Gestión medicina general;;2026-08-29T12:17:43;"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-008 Guia Consulta de egreso CPR y Planificación Familiar.docx?web=1";"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-008 Guia Consulta de egreso CPR y Planificación Familiar.docx"
DA-GMD-009;Guía consulta postaborto.docx;.docx;Gestión medicina general;;2026-08-29T12:17:43;"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-009 Guía consulta postaborto.docx?web=1";"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-009 Guía consulta postaborto.docx"
DA-GMD-010;Guía de recomendaciones y signos de alarma en control prenatal.docx;.docx;Gestión medicina general;;2026-08-29T12:17:44;"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-010 Guía de recomendaciones y signos de alarma en control prenatal.docx?web=1";"https://unionsaludvida.sharepoint.com/sites/INTRANET/Documentos compartidos/DOCUMENTOS_INSTITUCIONALES/SISTEMAS_INFORMACION/GESTION DOCUMENTAL DE CALIDAD UT/Gestión documental de calidad Unión para la Salud Y la Vida SAS/Misionales/Gestión Médica y Asistencial/Gestión medicina general/Documentos de Apoyo/DA-GMD-010 Guía de recomendaciones y signos de alarma en control prenatal.docx"
